id,name,date_of_birth,nationality
7139,Wallace D. Wattles,1938-10-08,American
7140,Douglas J Lisle,1932-05-23,Japanese
7141,Garrett Nagle,1968-01-17,Brazilian
7142,Gustavo Mercado,1975-06-21,Chinese
7143,Peter Berresford Ellis,1923-11-09,Chinese
7144,Brian Cosgrove,1923-08-19,American
7145,Anna Sherman,1953-09-05,Brazilian
7146,Stephanie Bower,1981-07-06,Japanese
7147,Gill Hasson,1938-03-05,Portuguese
7148,Alberto Oliva,1968-08-31,Brazilian
7149,Nancy C. Muir,1974-01-14,Japanese
7150,Bill Martin Jr,1939-09-14,Saudi Arabian
7151,Lisa Newsom,1921-01-19,Brazilian
7152,Michael Ryan,1970-09-20,Italian
7153,Ram Charan,1975-07-26,Indian
7154,Amy Myers,1948-11-28,Malaysian
7155,Chummy S. Sinnatamby,1943-06-24,Peruvian
7156,Clive Hamilton,1972-08-18,American
7157,Stephen Colbert,1936-05-03,Saudi Arabian
7158,David Hatcher Childress,1979-09-17,Mexican
7159,Alfred North Whitehead,1926-05-05,Kenyan
7160,Pie Corbett,1927-02-09,Jamaican
7161,Christopher Germer,1943-03-30,Italian
7162,The Times Mind Games,1957-11-10,Russian
7163,Sean Brock,1972-10-13,Swedish
7164,David Almond,1938-04-26,Thai
7165,Sheena Byrom,1934-11-23,Jamaican
7166,Clea Shearer,1972-08-25,Greek
7167,Ernest Hemingway,1924-02-09,Malaysian
7168,Jane Bingham,1950-09-24,Chinese
7169,Virginia Ironside,1947-05-25,Korean
7170,Joe Friel,1963-07-23,Korean
7171,Mervyn Peake,1949-10-14,Spanish
7172,David A Sinclair,1967-12-29,Kenyan
7173,Tracy Kidder,1973-07-03,Spanish
7174,Bonnie Fitzgerald,1926-07-20,Australian
7175,Pele,1937-09-12,Saudi Arabian
7176,Heinrich Engel,1942-05-17,Mexican
7177,William E. Blundell,1957-01-27,Thai
7178,Michael Kemp,1953-04-14,Australian
7179,Amigurumipatterns Net,1966-05-09,Italian
7180,Eckhart Tolle,1933-12-27,Polish
7181,Oliver Tearle,1962-02-21,Peruvian
7182,Alan W Watts,1985-07-20,Spanish
7183,San Francisco Writers,1933-09-06,German
7184,Judith Herrin,1921-02-11,Russian
7185,Virginia Eubanks,1957-08-22,Mexican
7186,Mark Cuban,1924-07-23,Chinese
7187,Ghillie Basan,1945-01-21,Saudi Arabian
7188,Janice (Ginny) Redish,1970-04-24,Egyptian
7189,Jerome E. Leavitt,1930-03-28,Japanese
7190,Heston Blumenthal,1977-05-31,Kenyan
7191,Sam Manicom,1967-12-27,Swedish
7192,R.E. Wakeford,1973-05-25,Israeli
7193,James M. Kouzes,1979-05-14,Italian
7194,Charles C. Pinter,1943-12-16,Thai
7195,Brian Thorne,1970-12-22,Turkish
7196,Sid Lowe,1984-12-02,Irish
7197,Timothy D. Wilson,1987-03-03,Spanish
7198,Serhii Plokhy,1922-10-07,Spanish
7199,U.S. Games Ltd.,1946-02-01,Jamaican
7200,Nathaniel Philbrick,1982-12-04,German
7201,Dave Cullen,1989-05-10,British
7202,Matthew Slinn,1958-09-28,Indian
7203,James Bryan Smith,1930-02-07,Australian
7204,Kathy Willis,1934-11-04,Israeli
7205,Paulo Coelho,1955-05-27,Polish
7206,Nicholas Mirzoeff,1956-03-03,Israeli
7207,Chris Cook,1950-03-15,Malaysian
7208,Sarah-Jayne Blakemore,1931-09-02,Portuguese
7209,Us Army,1951-06-19,Canadian
7210,Joanne Sharpe,1976-07-07,German
7211,Verne Harnish,1970-10-28,Irish
7212,Erica Larkcom,1953-07-10,Swedish
7213,Bryan Mathis,1964-03-19,Portuguese
7214,David Maraniss,1922-12-21,Australian
7215,Hamish Bowles,1921-10-13,Greek
7216,David Nelson,1970-10-24,Spanish
7217,Gary Mack,1971-04-21,Italian
7218,Diana Ridley,1988-03-11,Peruvian
7219,Frank Miller,1922-05-31,British
7220,Ronald Reng,1941-05-18,Mexican
7221,Ben Hogan,1946-12-02,Portuguese
7222,Mel Allwood,1957-06-15,Greek
7223,Grant Wiggins,1948-12-17,American
7224,Gisela Kaplan,1989-11-16,Korean
7225,Robert Kuok,1960-07-15,Turkish
7226,Michelle Hodkin,1932-07-28,Nigerian
7227,Gretchen Rubin,1920-09-06,Japanese
7228,Three Initiates,1975-11-20,Chinese
7229,John B. Biggs,1931-09-02,Kenyan
7230,Stationery Office,1963-01-27,Spanish
7231,Rob Hunter,1943-10-26,Korean
7232,Belle,1950-02-24,British
7233,Veronica Henry,1927-08-23,Italian
7234,Graham Coleman,1940-04-17,Egyptian
7235,Jim Greasley Horace,1990-08-22,French
7236,Alethea Harampolis,1987-01-26,Jamaican
7237,Paul Babiak,1983-02-04,Russian
7238,Mike Bishop,1968-10-20,Nigerian
7239,Mark Bowden,1924-02-04,Egyptian
7240,Laurie Halse Anderson,1957-11-03,Israeli
7241,Golden Krishna,1929-01-28,Spanish
7242,Victoria Hislop,1955-08-22,Kenyan
7243,Matthew Reinhart,1982-12-17,Swedish
7244,Michael Rosen,1946-04-23,Italian
7245,Grace Karskens,1985-04-12,Turkish
7246,Georgina Howell,1980-08-07,Irish
7247,Gordon D. Fee,1971-01-15,Swedish
7248,Daniel J. Barrett,1980-01-05,Australian
7249,Tom Wainwright,1957-06-04,Mexican
7250,Jeff Benedict,1976-04-19,Irish
7251,Admiral William H. McRaven,1989-04-26,Korean
7252,David W Tollen,1964-01-05,British
7253,Jenny Volvovski,1941-05-24,Jamaican
7254,Cicero,1925-10-30,Brazilian
7255,Mike Mentzer,1958-09-02,Italian
7256,Desiree Silva,1939-04-28,Italian
7257,Wendell Odom,1929-06-18,French
7258,Pulley Sayre A,1924-12-24,Chinese
7259,Steven Pinker,1941-12-12,Japanese
7260,Wild at Heart,1920-09-19,Russian
7261,Ross J. Anderson,1945-01-12,Canadian
7262,Harold G. Moore,1932-09-04,Kenyan
7263,Steven Levitsky,1978-05-03,American
7264,Paul Z. Jackson,1989-11-16,Spanish
7265,Judith A. Howard,1928-09-14,Spanish
7266,Chris Scott,1927-07-24,Italian
7267,Rolf Potts,1980-04-18,Russian
7268,Richard Graves,1967-04-21,Jamaican
7269,Alison Weir,1953-07-16,Israeli
7270,Neil Fiore,1990-11-03,Israeli
7271,Mimi Kirk,1944-06-23,Saudi Arabian
7272,Kate T. Parker,1978-08-24,Swedish
7273,Grace Song,1984-01-18,Jamaican
7274,William D. Mounce,1982-10-31,Nigerian
7275,Joseph Sugarman,1927-05-17,German
7276,Carl R Rogers,1980-07-10,Russian
7277,Geographer's A to Z company,1923-06-18,Chinese
7278,Zoe de Las Cases,1973-12-03,Israeli
7279,Michael Brenock,1966-03-10,Malaysian
7280,Matthew Dixon,1926-09-06,Canadian
7281,Paul Terry,1974-03-02,Peruvian
7282,Teen Vogue,1967-12-21,Canadian
7283,Dagny Scott Barrios,1965-11-04,Saudi Arabian
7284,Carole Radziwill,1986-08-28,Portuguese
7285,Bernard Marr,1941-06-08,French
7286,Director James R Doty,1927-05-26,Peruvian
7287,James Luceno,1925-12-18,Brazilian
7288,Stanley J. Farlow,1989-08-18,Swedish
7289,Rukmini Iyer,1955-08-13,Spanish
7290,James Dean,1925-07-14,Swedish
7291,Bryan Willis,1977-01-14,Thai
7292,S. K. Baker,1946-04-28,Indian
7293,Kirsten K. Shockey,1934-04-10,Russian
7294,President Bill Clinton,1949-02-15,Korean
7295,Dean Whitehead,1935-07-17,Polish
7296,Arianna Huffington,1946-11-23,Korean
7297,Michael Haag,1966-07-07,American
7298,Alison Lester,1970-03-17,Egyptian
7299,Paul Hoang,1937-06-10,Portuguese
7300,Rebecca Makkai,1986-12-17,Saudi Arabian
7301,Monica Gagliano,1984-05-05,Portuguese
7302,Georg Polya,1941-11-24,Japanese
7303,Duane Elmer,1973-05-19,Kenyan
7304,Jesse Schell,1963-03-01,Turkish
7305,Sarah Woods,1927-12-31,Polish
7306,Judith Butler,1950-11-10,Thai
7307,Amanda Owen,1976-04-27,Russian
7308,John Carlin,1951-10-19,American
7309,Carlo Levi,1932-06-14,Chinese
7310,William Stixrud,1922-10-14,Canadian
7311,Karen Kenyon,1930-09-08,Israeli
7312,Jason Fulford,1990-12-13,German
7313,Charlie Chaplin,1988-02-10,Irish
7314,Po Bronson,1950-04-01,Kenyan
7315,Ken Grimwood,1974-01-15,Kenyan
7316,Jeff Tweedy,1983-10-25,Irish
7317,L. J. Smith,1956-08-30,Thai
7318,Milton Cooper,1920-02-16,Israeli
7319,Cardinal Christoph Schonborn,1966-10-23,Kenyan
7320,Authur Edward Waite,1921-08-18,Brazilian
7321,Lucy Knisley,1966-09-23,German
7322,Ian Sidaway,1960-12-19,Swedish
7323,Alison Schroeder,1982-06-05,Malaysian
7324,David Nicholls,1929-12-14,Indian
7325,Michael Pekovich,1959-10-05,Mexican
7326,Allen B. Downey,1969-01-08,Canadian
7327,Mary Norton,1949-06-25,Italian
7328,Lynley Dodd,1970-07-07,Irish
7329,K. Shaw,1937-06-25,Indian
7330,Chrissy Teigen,1936-03-11,Japanese
7331,Jens Voigt,1937-01-31,American
7332,Annie Brock,1920-12-09,Mexican
7333,Christopher Lloyd,1980-02-19,Swedish
7334,Natalie Goldberg,1947-07-09,Greek
7335,Richard Rennie,1973-11-07,French
7336,G. Wilson Willow,1989-12-30,Irish
7337,George Couros,1937-08-21,Korean
7338,Kai Strittmatter,1960-03-25,Turkish
7339,Kimberly A. Henry,1920-12-24,Israeli
7340,Hal Koerner,1983-12-27,Nigerian
7341,Iris Apfel,1986-05-19,Korean
7342,Michael J. Fox,1979-04-14,Portuguese
7343,Marcia Langton,1984-02-17,Swedish
7344,Colour Sergeant Kailash Limbu,1970-02-22,Australian
7345,India Hobson,1932-03-10,Egyptian
7346,Erich von Däniken,1968-03-07,Peruvian
7347,Karen Paik,1938-05-07,Indian
7348,Jane Mayer,1920-07-18,British
7349,My Food Bag,1977-08-15,American
7350,Leif H. Smith,1945-08-29,Kenyan
7351,George B. Bridgman,1924-01-22,Irish
7352,Steve House,1953-08-19,Indian
7353,Nicky Pellegrino,1970-05-05,Irish
7354,Cliff Stoll,1987-10-19,Peruvian
7355,Indira Naidoo,1968-07-18,Italian
7356,Christina Dalcher,1936-01-29,Nigerian
7357,Christian Reus-Smit,1945-01-02,Polish
7358,Patrick Ness,1957-07-26,Turkish
7359,Dorothy Abbe,1921-09-22,Nigerian
7360,Arthur Cotterell,1928-01-30,Mexican
7361,John Baxter,1939-08-15,Mexican
7362,James Comey,1938-11-28,Jamaican
7363,Tite Kubo,1959-11-16,Kenyan
7364,Roger J. Davies,1959-05-20,Chinese
7365,Anne Carson,1920-01-29,Egyptian
7366,Elecia White,1924-08-06,Italian
7367,Emma Galloway,1968-05-26,Mexican
7368,Andy Hargreaves,1979-11-15,Thai
7369,Temple Grandin,1966-06-23,Chinese
7370,Dejan Sarka,1932-09-19,Spanish
7371,Marcel Pagnol,1972-08-29,Jamaican
7372,Oliver Green,1935-07-05,Italian
7373,John D. Caputo,1955-02-28,Italian
7374,Lawrence Butcher,1965-09-14,Brazilian
7375,Winston Groom,1952-11-20,Mexican
7376,Tim Leong,1931-09-29,Australian
7377,Martin Withers,1973-10-31,American
7378,Stephanie Tourles,1990-07-27,Australian
7379,Jenson Button,1943-03-08,Mexican
7380,Pavilion Books,1961-06-12,Chinese
7381,Dr Claire Weekes,1968-08-31,Swedish
7382,Chogyam Trungpa,1985-12-19,Peruvian
7383,Hannah Rothschild,1931-09-02,Italian
7384,Robert Tisserand,1920-06-29,Italian
7385,Boris Pasternak,1959-09-12,Swedish
7386,Martin Robinson,1943-02-18,Malaysian
7387,Rae Earl,1928-10-27,Italian
7388,Kazuo Ishiguro,1990-02-05,Polish
7389,William Panek,1969-08-10,Jamaican
7390,Oliver Gassmann,1922-08-17,Irish
7391,Eric Taylor,1928-11-06,Mexican
7392,John Layman,1949-09-12,Thai
7393,Alan C Deere,1951-10-10,Jamaican
7394,Mark Shaw,1921-05-05,Greek
7395,Timothy Ware,1973-02-11,Swedish
7396,Travis Elborough,1947-08-26,Nigerian
7397,Arthur Parkinson,1948-01-25,Swedish
7398,Rhonda Hetzel,1947-04-28,Irish
7399,Chad Mureta,1976-06-17,Canadian
7400,Bruce A. Tate,1931-07-30,Spanish
7401,Yolanda Gampp,1968-09-12,Greek
7402,Jon Bentley,1990-01-16,British
7403,Maurice Balme,1971-04-05,Australian
7404,Miranda Lundy,1973-10-09,Chinese
7405,David Wong,1969-06-14,Mexican
7406,Lisa Cestnik,1965-04-14,Swedish
7407,Janella Purcell,1973-12-18,Israeli
7408,R. H. Charles,1971-08-11,Russian
7409,Nikita Gill,1928-10-17,Malaysian
7410,Jason Briggs,1951-04-07,French
7411,Judd Winick,1962-11-28,American
7412,Ian Serraillier,1968-11-06,German
7413,Thomas Harris,1965-08-05,French
7414,Joe Tracz,1944-03-21,Polish
7415,David Lebovitz,1963-10-11,Egyptian
7416,Great Britain: Cabinet Office,1981-10-25,Irish
7417,Jason Sacher,1951-08-17,Turkish
7418,Dynamo,1990-05-29,Brazilian
7419,Nicola Kinnear,1976-06-20,Italian
7420,Samantha Clark,1957-10-26,Japanese
7421,Gerald Durrell,1930-04-01,Brazilian
7422,Yeonmi Park,1953-04-11,Portuguese
7423,Natsuki Takaya,1962-09-15,Canadian
7424,George Lois,1928-09-20,Saudi Arabian
7425,Mick Herron,1970-01-21,Swedish
7426,Anthony Stevens,1938-09-19,Egyptian
7427,Meera Sodha,1953-10-26,Swedish
7428,Emily Carroll,1940-11-28,Spanish
7429,Ramin Zahed,1986-02-14,Japanese
7430,Sydney Padua,1921-03-14,Australian
7431,Janit Calvo,1982-12-10,Chinese
7432,Miyamoto Musashi,1961-08-20,Korean
7433,Thomas D. Seeley,1948-01-07,American
7434,Bill Greer,1964-08-10,Spanish
7435,Rick Steves,1928-03-16,Malaysian
7436,Linda Ewashina,1952-02-15,Jamaican
7437,From Software,1978-08-11,Greek
7438,John Fowles,1969-07-18,Malaysian
7439,J. A. Cuddon,1955-02-10,Egyptian
7440,Steve Wide,1958-03-16,Swedish
7441,Deborah Adele,1980-11-18,Jamaican
7442,Tappei Nagatsuki,1927-04-26,Malaysian
7443,Emma Larkin,1972-11-04,Jamaican
7444,Mitsuki Hoshi,1929-03-12,Spanish
7445,Fearne Cotton,1946-02-19,Irish
7446,Bryan Cranston,1923-04-27,Nigerian
7447,Not Known,1929-05-07,Russian
7448,Howard J. Bennett,1932-12-02,Polish
7449,Ellie Tennant,1940-04-30,Saudi Arabian
7450,Deborah A. Dana,1941-02-19,Australian
7451,HELEN JUKES,1954-07-18,Korean
7452,Christine Trumper,1934-05-18,Israeli
7453,Carol Ann Duffy,1945-07-10,Saudi Arabian
7454,Kate Moss,1961-06-11,French
7455,Christopher Willard,1967-10-29,Peruvian
7456,Fiona Danks,1989-08-17,Nigerian
7457,Dan Mills,1931-05-29,Portuguese
7458,Haafner Linssen,1967-06-23,Korean
7459,Jake Hobson,1934-01-01,Thai
7460,Lori Deschene,1958-12-20,French
7461,Robert Galbraith,1985-11-29,Malaysian
7462,Ursula Doyle,1986-11-21,Egyptian
7463,Jay Bahadur,1939-08-31,Irish
7464,Tim A Swike,1924-02-19,French
7465,Rachel Hoffman,1936-07-07,Saudi Arabian
7466,Jeannine Stein,1922-02-22,Thai
7467,Bernd Heinrich,1967-02-23,Australian
7468,Trevor Bounford,1938-07-05,Japanese
7469,Tuttle Editors,1934-01-31,Polish
7470,Michelle Anthony,1920-07-06,Spanish
7471,Eavan Boland,1945-11-01,Russian
7472,Lori Gottlieb,1987-04-09,Portuguese
7473,John Kenneth Galbraith,1978-11-19,French
7474,Jack Whitehall,1922-05-17,Chinese
7475,Gayle Laakmann McDowell,1965-07-09,British
7476,Stephan Britt,1937-10-10,Thai
7477,The Mindfulness Project,1956-01-16,Jamaican
7478,Homer Hickam,1935-01-07,Spanish
7479,Alex Frith,1932-06-22,Turkish
7480,Daniel Tudor,1981-03-05,Russian
7481,F. Batmanghelidj,1986-11-24,Jamaican
7482,Allen Rucker,1925-12-01,Russian
7483,Jean-Benoit Nadeau,1960-07-09,Swedish
7484,Jon Savage,1949-08-04,Saudi Arabian
7485,Abigail Booth,1983-08-27,Korean
7486,Kylie Kwong,1962-07-15,Korean
7487,Will Ferguson,1949-04-02,Chinese
7488,Ben Lynch,1957-02-11,Peruvian
7489,Susan Meredith,1974-02-08,Thai
7490,Lorraine Pascale,1939-07-16,Russian
7491,Ksi,1974-11-02,Egyptian
7492,Daniela Gobetti PH.D.,1986-09-09,Brazilian
7493,Matthew Burgess,1969-10-29,Malaysian
7494,Mike Wells,1951-11-25,Brazilian
7495,Brock Craft,1931-03-22,Russian
7496,Neil Howe,1982-08-12,Swedish
7497,J. M. Synge,1954-12-17,Egyptian
7498,Emma Zara O'Brien,1923-08-15,Saudi Arabian
7499,Ruth Field,1968-01-19,Malaysian
7500,CEDRIC DELVES,1933-04-04,Irish
7501,Yves C Ton-That,1988-04-01,Egyptian
7502,Thomas A. Limoncelli,1948-04-08,Polish
7503,May Chan,1932-01-24,Swedish
7504,John Eldredge,1971-06-12,Thai
7505,Stuart McClure,1924-11-04,Israeli
7506,Bruce Hoffman,1982-09-28,Greek
7507,Jake Adelstein,1965-12-10,French
7508,Nile Rodgers,1988-06-17,German
7509,Dolly Alderton,1959-11-17,Irish
7510,John Doerr,1956-03-07,Japanese
7511,Christine Bailey,1967-07-07,Egyptian
7512,Rachel Gibson,1954-01-01,Portuguese
7513,Gabriel Mojay,1920-03-25,Chinese
7514,Jackie Morris,1980-05-19,German
7515,Michael Spivak,1930-12-31,Russian
7516,Marc Morris,1970-04-25,Turkish
7517,Melanie Spears,1929-01-26,Greek
7518,Steven Robert Farnsworth,1938-11-07,Polish
7519,Kaz Cooke,1956-03-01,Irish
7520,Jerry Hopkins,1925-06-15,Australian
7521,Graham Pitchfork,1924-01-11,British
7522,Emiliano Marino,1976-03-04,Malaysian
7523,Marina Anderson,1981-01-02,Jamaican
7524,Bernard Grun,1951-12-28,Greek
7525,Justin Sonnenburg,1939-12-06,Israeli
7526,Angela Davids,1965-09-04,Canadian
7527,Lauren Stowell,1989-12-06,Swedish
7528,Paul A Huson,1973-10-18,Korean
7529,ALICE OSEMAN,1972-07-27,Indian
7530,Ernst H. Gombrich,1932-01-11,Australian
7531,Hbo,1970-01-07,Egyptian
7532,Ben Love,1985-09-12,Portuguese
7533,Laurell K Hamilton,1982-12-17,Brazilian
7534,Judith Montano,1941-12-10,Jamaican
7535,McGraw-Hill Education,1926-06-01,Canadian
7536,Prof Paul Gilbert,1940-08-03,Russian
7537,Sun-Mi Hwang,1937-03-16,Nigerian
7538,J.L. Pickering,1971-12-11,German
7539,Jeremy Wade,1939-07-28,Korean
7540,David Perlmutter,1958-08-31,Irish
7541,Slavoj Zizek,1948-11-01,British
7542,Srdja Popovic,1953-07-07,Mexican
7543,E L Lancaster,1936-03-22,Canadian
7544,Thomas L. Friedman,1967-03-14,Malaysian
7545,Twentieth Century Fox Home Entertainment,1989-04-05,Saudi Arabian
7546,Roger Penrose,1927-06-14,German
7547,Joe Slattery,1964-12-24,Australian
7548,K. F. Riley,1969-12-21,French
7549,Paul Bloom,1963-09-08,British
7550,Dietrich Bonhoeffer,1985-01-29,Japanese
7551,D.P. Davies,1945-12-25,Portuguese
7552,Stuart Robson,1980-06-17,Portuguese
7553,Stella Parks,1965-04-11,German
7554,Jeff Lowenfels,1976-12-02,Thai
7555,Nerys Purchon,1969-02-10,Egyptian
7556,Paul Chiusano,1982-10-08,Australian
7557,Jerome Murphy-O'Connor,1947-05-13,Malaysian
7558,Slinkachu,1985-06-24,Peruvian
7559,Dr. Sarah Edelman,1947-01-04,Kenyan
7560,American Psychiatric Association,1962-10-15,Spanish
7561,Gary D. Chapman,1949-01-18,Egyptian
7562,Lysa TerKeurst,1983-04-28,Russian
7563,Federal Aviation Administration (FAA)/Aviation Supplies & Academics (Asa),1928-07-04,Canadian
7564,CD Projekt Red,1963-07-31,Kenyan
7565,Matt Stone,1927-02-28,Saudi Arabian
7566,Ellen Notbohm,1934-09-25,Polish
7567,Matthias Thun,1958-10-02,Canadian
7568,Robin Boyd,1930-02-14,Portuguese
7569,David Ogilvy,1921-10-30,Thai
7570,Sir Arthur Grimble,1931-01-09,Swedish
7571,Catherine Bailey,1959-08-28,Polish
7572,Bear Grylls,1980-05-18,Korean
7573,Wu-Tang Clan,1937-06-19,Jamaican
7574,Paula I. Figoni,1955-07-31,Greek
7575,Michael Bungay Stanier,1983-07-16,Nigerian
7576,Lao Tsu,1976-08-11,Egyptian
7577,Anthony Browne,1962-07-12,Italian
7578,OCSO  Erik Varden,1938-05-18,Israeli
7579,Rachel Ashwell,1962-08-21,Brazilian
7580,Dennis Bergkamp,1978-06-22,Egyptian
7581,David Coffin,1974-11-14,Malaysian
7582,Alan Fairley,1959-09-27,Spanish
7583,Drakes Press,1944-08-18,Swedish
7584,Charlie Brooker,1986-11-10,Jamaican
7585,Jennifer Van Sijll,1950-09-26,Kenyan
7586,Robert I. Sutton,1933-11-02,Russian
7587,Martin Lindstrom,1943-09-03,British
7588,Doris Lessing,1922-12-01,Portuguese
7589,Corinne Sweet,1957-04-13,Irish
7590,Verlon Braden,1937-06-12,Australian
7591,Ella Griffin,1963-09-19,French
7592,Walt Thurn,1933-01-14,Spanish
7593,Kevin DeYoung,1957-11-10,Nigerian
7594,Stuart J. Murphy,1957-03-16,British
7595,Ann Cleeves,1983-09-16,Nigerian
7596,Leslie Becker-phelps,1962-11-17,Portuguese
7597,Angela Boland,1934-11-13,Chinese
7598,Mark Justice Hinton,1931-05-28,Chinese
7599,Rick Hanson,1962-01-12,Egyptian
7600,IIBY,1939-11-28,Chinese
7601,R. C. Sproul,1959-10-28,Portuguese
7602,Ed Viesturs,1942-01-16,Polish
7603,Joseph O'Connor,1973-04-15,Russian
7604,Jane Rainbow,1957-05-21,Irish
7605,Dale Pinnock,1973-11-27,Greek
7606,E. Nesbit,1955-06-25,Peruvian
7607,R.Wright Campbell,1964-01-19,Malaysian
7608,Hugh Baker,1930-02-13,Mexican
7609,Margot Sunderland,1922-03-07,Peruvian
7610,Forrest Griffin,1952-09-10,Chinese
7611,Jamie Sams,1984-01-27,British
7612,N. K. Jemisin,1933-12-24,Russian
7613,Christopher James,1959-03-29,Russian
7614,Alexandra Bracken,1923-11-10,Egyptian
7615,Susan Cain,1942-09-03,Russian
7616,Robin Hobb,1956-02-29,Spanish
7617,David J. Schwartz,1967-01-28,Mexican
7618,Jonathan Eastland,1936-10-10,German
7619,Bonnie Worth,1963-03-25,Israeli
7620,David Kinch,1984-02-15,French
7621,Anatomical Chart Company,1971-11-11,Polish
7622,Max Leonard,1942-09-07,Italian
7623,Barbara Rucci,1931-03-20,Brazilian
7624,David Crystal,1927-10-24,Greek
7625,Charles A. Lindbergh,1980-03-07,German
7626,Joe Simpson,1951-01-01,Saudi Arabian
7627,Judith Blacklock,1938-02-12,Indian
7628,Dalai Lama XIV,1921-02-22,Indian
7629,Dennis Linn,1946-08-04,Thai
7630,Matt Pritchard,1960-11-12,Spanish
7631,Ludwig Bemelmans,1934-02-17,Portuguese
7632,Ann Voskamp,1928-01-06,Italian
7633,Nigel Bennett,1980-08-27,Saudi Arabian
7634,Aubrey Marcus,1971-02-12,Nigerian
7635,Matty Matheson,1936-10-30,Chinese
7636,Robert Cheeke,1960-12-20,Australian
7637,Olivia Gatwood,1938-07-13,Nigerian
7638,Pat Murphy,1935-10-30,French
7639,Marco Polo,1979-11-04,Saudi Arabian
7640,Ellie Tragakes,1990-10-30,Jamaican
7641,Dennis Greenberger,1988-04-08,Chinese
7642,Nathaniel Fick,1989-10-01,Malaysian
7643,Steve Hagen,1933-11-06,Spanish
7644,Pia Mellody,1931-03-11,Saudi Arabian
7645,Catherynne M. Valente,1952-10-06,Malaysian
7646,E. L. James,1946-05-23,Malaysian
7647,Ian Cramb,1949-08-01,Indian
7648,Barbara Griggs,1958-09-06,German
7649,Jen Wang,1923-04-06,Italian
7650,Stef Maruch,1989-09-03,Japanese
7651,Karen Andreola,1988-07-09,Saudi Arabian
7652,Lindsey C. Harnsberger,1964-07-07,Kenyan
7653,Prem Rawat,1986-11-19,Italian
7654,Mark Cocker,1962-06-26,Canadian
7655,John Wanberg,1972-09-02,Russian
7656,Vitruvius,1986-08-27,Portuguese
7657,Leslie Kaminoff,1955-04-14,Swedish
7658,Manly P Hall,1969-01-24,American
7659,Yunus A. Cengel,1923-02-27,Indian
7660,Wendy Rowe,1925-12-10,Irish
7661,Laura Bates,1962-02-22,Peruvian
7662,Joe Dolan,1938-03-10,Chinese
7663,Frederick P. Brooks Jr.,1990-04-18,Greek
7664,Jay Conrad Levinson,1975-12-19,Thai
7665,Hermann Hesse,1928-05-16,Saudi Arabian
7666,Humphrey,1933-08-13,French
7667,Dan Blank,1966-07-04,Japanese
7668,A. J. Jacobs,1962-06-14,Korean
7669,Geneva Vanderzeil,1934-03-15,Portuguese
7670,Frank Zappa,1961-08-19,Portuguese
7671,Mima Sinclair,1950-05-08,Kenyan
7672,Dr Laura Markham,1949-11-26,Swedish
7673,Joby Warrick,1973-05-30,Nigerian
7674,Ibn Fadlan,1962-04-14,Canadian
7675,Jo Shapcott,1923-10-29,Spanish
7676,Melanie Mitchell,1986-03-22,Korean
7677,Sebastian Raschka,1985-09-26,Israeli
7678,Foundation for Inner Peace,1941-11-01,Jamaican
7679,William McNaughton,1941-03-27,German
7680,Norm Marshall,1921-12-10,Turkish
7681,Hyeonseo Lee,1978-05-07,Mexican
7682,Kitty Flanagan,1922-06-22,Chinese
7683,Danielle Selber,1967-12-28,Thai
7684,Timothy Conigrave,1929-07-29,Spanish
7685,Graham Stoakes,1971-11-26,Russian
7686,Teal Swan,1965-01-26,Jamaican
7687,Michael J. Tougias,1986-12-27,Jamaican
7688,Doug Lemov,1958-08-06,Italian
7689,Edward Hirsch,1980-04-18,American
7690,James A. Whittaker,1978-08-12,Korean
7691,Fr Gregory Boyle,1926-04-26,Peruvian
7692,Rick Rigsby,1965-02-18,British
7693,Mark Billingham,1936-02-27,Portuguese
7694,Robert Schwartz,1990-02-24,Greek
7695,S. Clarke,1967-12-24,Saudi Arabian
7696,Teresa Goodridge,1924-11-01,Swedish
7697,David Beaty,1978-05-10,Nigerian
7698,Soul,1987-07-26,Kenyan
7699,Annaka Harris,1934-02-24,Thai
7700,Stella Baggott,1951-10-30,British
7701,William Bramley,1929-05-07,Australian
7702,Josef Müller-Brockmann,1962-03-13,Turkish
7703,Zack Zombie Books,1959-06-27,Chinese
7704,Sam Tickner,1932-05-22,Peruvian
7705,Angela Porter,1960-11-19,Swedish
7706,Brian Weiss,1956-01-26,Chinese
7707,Paul K. Feyerabend,1964-03-16,Malaysian
7708,Windsor Mann,1988-05-17,Malaysian
7709,Robert Opie,1980-03-10,Japanese
7710,Geert Mak,1974-06-07,Saudi Arabian
7711,Timothy Morton,1925-06-07,French
7712,Ron Ritchhart,1960-10-10,Canadian
7713,Sam Taplin,1962-03-25,Kenyan
7714,Kyo Maclear,1927-09-19,Irish
7715,Robert K. Massie,1978-07-05,Japanese
7716,Erin Gruwell,1922-01-16,Saudi Arabian
7717,David Goggins,1985-04-24,Malaysian
7718,Kristen Miglore,1970-01-20,Portuguese
7719,Paul Wilmott,1946-12-11,Japanese
7720,Shaun David Hutchinson,1932-07-21,Russian
7721,Daniel Lipkowitz,1921-06-07,Korean
7722,Carl Benedikt Frey,1988-08-22,Canadian
7723,Thomas Crump,1982-03-07,American
7724,Cheryl Richardson,1959-08-22,Canadian
7725,Daniel Tammet,1990-08-13,Swedish
7726,Richard Rumelt,1971-01-17,Chinese
7727,Marcia Monroe,1980-12-15,Spanish
